"rep","ant","meanmidstretch","meanmidlegangle","meanhindstretch","midlegangle","Label","chainsize"
"Col210","oneone",1.8728813559322,10.8585,2.74406779661017,14.573,"Col210_1Ants.0.66g.Second1757.jpg","1"
"Col210","oneone",1.73633440514469,11.478,2.55305466237942,14.361,"Col210_1Ants.0.66g.Second1758.jpg","1"
"Col212","oneone",1.78310502283105,37.5135,2.67123287671233,34.219,"Col212_1Ants.0.01g.Second85.jpg","1"
"Col212","oneone",1.21978021978022,40.436,1.58974358974359,43.474,"Col212_1Ants.0.03g.Second86.jpg","1"
"Col218","oneone",1.40033783783784,37.5615,2.07432432432432,31.154,"Col218_1Ants.0.21g.Second228.jpg","1"
"Col218","oneone",1.43092105263158,28.5575,1.89144736842105,40.943,"Col218_1Ants.0.2g.Second227.jpg","1"
"Col229","oneone",1.79580152671756,9.827,2.83206106870229,9.643,"Col229_1Ants.0.35g.Second1689.jpg","1"
"Col229","oneone",1.87884615384615,9.7435,2.91346153846154,9.155,"Col229_1Ants.0.37g.Second1688.jpg","1"
"Col402","oneone",1.48837209302326,36.5765,2.02131782945736,25.431,"Col402_1Ants.0.16g.Second339.jpg","1"
"Col402","oneone",1.6640625,33.5355,2.177734375,26.424,"Col402_1Ants.0.17g.Second338.jpg","1"
"Col413_1","oneone",1.80166666666667,40.1015,2.84666666666667,12.424,"Col413_1_1Ants.0.51g.Second2396.jpg","1"
"Col413_1","oneone",2.01182432432432,54.3525,2.86486486486486,12.806,"Col413_1_1Ants.0.74g.Second2395.jpg","1"
"Col413_2","oneone",1.81896551724138,22.69,2.62787356321839,22.851,"Col413_2_1Ants.0.4g.Second1551.jpg","1"
"Col413_2","oneone",1.90491803278689,35.2975,3.0655737704918,22.886,"Col413_2_1Ants.0.84g.Second1550.jpg","1"
"Col429","oneone",2.13915094339623,12.033,2.68632075471698,13.875,"Col429_1Ants.0.15g.Second2964.jpg","1"
"Col429","oneone",2.13526570048309,6.3545,2.14975845410628,21.81,"Col429_1Ants.0.16g.Second2963.jpg","1"
"Col517","oneone",2.01020408163265,69.4915,3.01224489795918,45.055,"Col517_1Ants.0.2g.Second3865.jpg","1"
"Col517","oneone",1.82600732600733,69.21,2.69413919413919,45.265,"Col517_1Ants.0.2g.Second3866.jpg","1"
"Col518","oneone",1.58630952380952,29.663,2.08482142857143,30.497,"Col518_1Ants.0.98g.Second1514.jpg","1"
"Col518","oneone",1.78921568627451,28.4925,2.35294117647059,28.717,"Col518_1Ants.0.98g.Second1515.jpg","1"
"Col607","oneone",2.13111111111111,13.4115,2.72444444444444,18.618,"Col607_1Ants.0.08g.Second767.jpg","1"
"Col607","oneone",1.96887966804979,13.84,2.52282157676349,19.911,"Col607_1Ants.0.08g.Second768.jpg","1"
"Quel220_2","oneone",1.67413793103448,11.8755,2.67241379310345,29.989,"Quel220_2_1Ants.0.31g.Second1314.jpg","1"
"Quel220_2","oneone",1.71551724137931,18.36,2.68103448275862,30.272,"Quel220_2_1Ants.0.32g.Second1313.jpg","1"
"Quel321_1","oneone",1.81194029850746,21.512,2.76268656716418,2.47900000000001,"Quel321_1_1Ants.0.31g.Second2139.jpg","1"
"Quel321_1","oneone",1.73631123919308,21.9795,2.61959654178674,2.51400000000001,"Quel321_1_1Ants.0.34g.Second2138.jpg","1"
"Quel321_2","oneone",1.55074626865672,6.2735,2.63283582089552,28.92,"Quel321_2_1Ants.0.17g.Second1361.jpg","1"
"Quel321_2","oneone",1.67460317460317,89.3415,2.82222222222222,29.193,"Quel321_2_1Ants.0.18g.Second1362.jpg","1"
"Col517_2","twoone",2.04059040590406,2.0665,2.74354243542435,41.598,"Col517_2Ants.0.74g.Second1859.jpg","2"
"Col517_2","twotwo",1.29209621993127,22.879,2.27147766323024,24.508,"Col517_2Ants.0.74g.Second1859.jpg","2"
"Col517_2","twoone",1.32152588555858,1.7045,1.85422343324251,45.911,"Col517_2Ants.0.74g.Second1860.jpg","2"
"Col517_2","twotwo",1.4527972027972,4.1615,2.36538461538462,24.706,"Col517_2Ants.0.74g.Second1860.jpg","2"
"Col517_2","twoone",1.87543859649123,2.79650000000001,2.53157894736842,43.263,"Col517_2Ants.0.74g.Second1861.jpg","2"
"Col517_2","twotwo",1.38305084745763,5.0455,2.23728813559322,24.83,"Col517_2Ants.0.74g.Second1861.jpg","2"
"Col517_2","twoone",1.69444444444444,1.5795,2.32352941176471,43.215,"Col517_2Ants.0.75g.Second1862.jpg","2"
"Col517_2","twotwo",1.54693140794224,5.22450000000001,2.42779783393502,23.179,"Col517_2Ants.0.75g.Second1862.jpg","2"
"Col517_2","twoone",1.84201388888889,2.37049999999999,2.53125,43.025,"Col517_2Ants.0.75g.Second1863.jpg","2"
"Col517_2","twotwo",1.17375886524823,18.683,2.39893617021277,24.217,"Col517_2Ants.0.75g.Second1863.jpg","2"
"Col607_2","twoone",1.22622950819672,11.848,1.81967213114754,40.42,"Col607_2Ants.0.43g.Second1639.jpg","2"
