"X","Area","Mean","Min","Max","Angle","Length","colony","body"
1,0.001,168.192,125.964,213.14,-107.369,0.353,"Col2Thorax","thorax"
2,0.001,190.541,137.533,221.691,-154.814,0.326,"Col2Thorax","thorax"
3,0.001,183.58,144.421,210.309,38.95,0.328,"Col2Thorax","thorax"
4,0.001,140.098,102.655,186.083,-0.173,0.353,"Col2Thorax","thorax"
5,0.001,175.92,131.667,197.936,157.593,0.364,"Col2Thorax","thorax"
6,0.001,147.668,116.197,187.134,156.744,0.346,"Col2Thorax","thorax"
7,0.001,168.366,122,211.653,-53.13,0.351,"Col2Thorax","thorax"
8,0.001,180.094,142.631,225.304,-85.84,0.352,"Col2Thorax","thorax"
9,0.001,174.429,128.046,203.797,-76.601,0.348,"Col2Thorax","thorax"
10,0.0009875,133.454,91.236,187.242,66.644,0.306,"Col2Thorax","thorax"
11,0.001,146.365,109.62,185.567,67.006,0.313,"Col2Thorax","thorax"
12,0.001,182.732,144.795,224.281,-69.855,0.338,"Col2Thorax","thorax"
13,0.001,160.45,116.571,222.388,-30.548,0.339,"Col2Thorax","thorax"
14,0.001,146.968,97.34,192.409,178.371,0.337,"Col2Thorax","thorax"
15,0.001,124.858,91.875,176.24,165.057,0.342,"Col2Thorax","thorax"
16,0.001,128.717,84.425,171.962,-152.806,0.347,"Col2Thorax","thorax"
17,0.001,147.495,99.827,226.576,-140.607,0.312,"Col2Thorax","thorax"
18,0.001,181.264,136.755,218.983,41.424,0.362,"Col2Thorax","thorax"
19,0.001,160.012,110.816,202.449,164.95,0.365,"Col2Thorax","thorax"
20,0.001,163.053,118.746,196.06,-156.329,0.339,"Col2Thorax","thorax"
1,0.001,61.41,48.164,87.222,-54.617,0.311,"Col4Thorax","thorax"
2,0.001,65.414,46.026,103.829,-107.942,0.318,"Col4Thorax","thorax"
3,0.001,51.236,40.22,69.797,30.39,0.333,"Col4Thorax","thorax"
4,0.002,75.304,43.406,147.248,-8.955,0.361,"Col4Thorax","thorax"
5,0.001,63.694,46.333,82.419,-75.53,0.277,"Col4Thorax","thorax"
